lila_id	lemma_latin	lemma_greek	certainty	written_representation	lemma_variant	compound	lsj_cite_urn
http://lila-erc.eu/data/id/lemma/101629	euoe	εὐοῖ					
http://lila-erc.eu/data/id/lemma/101680	euphonia	εὐφωνία					
http://lila-erc.eu/data/id/lemma/101686	euplocamos	εὐπλόκαμος					
http://lila-erc.eu/data/id/lemma/101692	eurinus	εὔριvος					
http://lila-erc.eu/data/id/lemma/101694	euripus	εὔριπος					
http://lila-erc.eu/data/id/lemma/101698	euronotus	εὐρόνοτος					
http://lila-erc.eu/data/id/lemma/101701	eurus	εὖρος					
http://lila-erc.eu/data/id/lemma/101703	euscheme	εὐσχήμως					
http://lila-erc.eu/data/id/lemma/101711	euthygrammos	εὐθύγραμμος					
http://lila-erc.eu/data/id/lemma/101748	exagoga	ἐξαγωγή					
http://lila-erc.eu/data/id/lemma/101815	exbola	ἐκβολή					
http://lila-erc.eu/data/id/lemma/101184	exedra	ἐξέδρα					
http://lila-erc.eu/data/id/lemma/101185	exedrium	ἐξέδριον					
http://lila-erc.eu/data/id/lemma/101966	exegetice	ἐξηγητική					
http://lila-erc.eu/data/id/lemma/101979	exentero	ἐξεντερίζω					
http://lila-erc.eu/data/id/lemma/101738	exhaeresimus	ἐξαιρέσιμος					
http://lila-erc.eu/data/id/lemma/102076	exodium	ἐξόδιον					
http://lila-erc.eu/data/id/lemma/102117	exostra	ἐξώστρα					
http://lila-erc.eu/data/id/lemma/102120	exoticus	ἐξωτικός					
http://lila-erc.eu/data/id/lemma/102819	fagineus	φηγίνεος		φηγινοῦς			
http://lila-erc.eu/data/id/lemma/102820	faginus	φήγινος					
http://lila-erc.eu/data/id/lemma/102822	fagus	φηγός					
http://lila-erc.eu/data/id/lemma/102867	falx	φάλκης					
http://lila-erc.eu/data/id/lemma/102962	fascino	βασκαίνω	uncertain				
http://lila-erc.eu/data/id/lemma/102965	fascinum	βάσκανον	uncertain				
http://lila-erc.eu/data/id/lemma/103093	fenestra	φανήστρα					
http://lila-erc.eu/data/id/lemma/103260	fides	σφίδη					
http://lila-erc.eu/data/id/lemma/103524	fluta	πλωτή					
http://lila-erc.eu/data/id/lemma/103611	forbea	φορβή					
http://lila-erc.eu/data/id/lemma/103684	fortax	φόρταξ					
http://lila-erc.eu/data/id/lemma/103534	fucus	φῦκος					
http://lila-erc.eu/data/id/lemma/103998	funda	σφενδόνη	uncertain		σφόνδα		
http://lila-erc.eu/data/id/lemma/104151	fungus	σπόγγος		σφόγγος	σπογγιά		
http://lila-erc.eu/data/id/lemma/104264	galbanum	χαλβάνη					
http://lila-erc.eu/data/id/lemma/104324	gamma	γάμμα					
http://lila-erc.eu/data/id/lemma/104334	gangraena	γάγγραινα					
http://lila-erc.eu/data/id/lemma/104279	garon	γάρον					
http://lila-erc.eu/data/id/lemma/104373	gaulus	γαυλός					
http://lila-erc.eu/data/id/lemma/105015	gaunacum	καυνάκη					
http://lila-erc.eu/data/id/lemma/104377	gausapa	γαυσάπης					
http://lila-erc.eu/data/id/lemma/104382	gaza	γάζα					
http://lila-erc.eu/data/id/lemma/104391	gelasinus	γελασῖνος					
http://lila-erc.eu/data/id/lemma/104438	genealogus	γενεαλόγος					
http://lila-erc.eu/data/id/lemma/104457	genesis	γένεσις					
http://lila-erc.eu/data/id/lemma/104460	genethliacus	γενεθλιακός					
http://lila-erc.eu/data/id/lemma/104506	geographia	γεωγραφία					
http://lila-erc.eu/data/id/lemma/104512	geometres	γεωμέτρης					
http://lila-erc.eu/data/id/lemma/104513	geometria	γεωμετρία					
http://lila-erc.eu/data/id/lemma/104516	geometricus	γεωμετρικός					
http://lila-erc.eu/data/id/lemma/104301	georgicus	γεωργικός					
http://lila-erc.eu/data/id/lemma/55217	gerrae	γέρρα			γέρρον		
http://lila-erc.eu/data/id/lemma/104554	gerusia	γερουσία					
http://lila-erc.eu/data/id/lemma/104660	glauceum	γλαύκειον					
http://lila-erc.eu/data/id/lemma/104659	glaucoma	γλαύκωμα					
http://lila-erc.eu/data/id/lemma/104663	glaucus	γλαυκός					
http://lila-erc.eu/data/id/lemma/104677	glechonites	γληχωνίτης					
http://lila-erc.eu/data/id/lemma/104678	gleucinus	γλεύκινος					
http://lila-erc.eu/data/id/lemma/104694	glocio	κλώζω					
http://lila-erc.eu/data/id/lemma/104716	glossa	γλῶσσα					
http://lila-erc.eu/data/id/lemma/104717	glossema	γλώσσημα					
http://lila-erc.eu/data/id/lemma/104718	glossematicus	γλωσσηματικός					
http://lila-erc.eu/data/id/lemma/104451	gobius	κωβιός					
http://lila-erc.eu/data/id/lemma/104767	gomphus	γόμφος					
http://lila-erc.eu/data/id/lemma/104768	gongylis	γογγυλίς					
http://lila-erc.eu/data/id/lemma/104779	grabatus	κράββατος		κράβατος			
http://lila-erc.eu/data/id/lemma/104803	graecisso	γραικίζω					
http://lila-erc.eu/data/id/lemma/104809	gramiae	λήμη			γλήμη		
http://lila-erc.eu/data/id/lemma/104817	grammaticus	γραμματικός					
http://lila-erc.eu/data/id/lemma/104820	grammatista	γραμματιστής					
http://lila-erc.eu/data/id/lemma/104858	graphicus	γραφικός					
http://lila-erc.eu/data/id/lemma/104862	graphium	γραφεῖον					
http://lila-erc.eu/data/id/lemma/104926	groma	γνώμων					
http://lila-erc.eu/data/id/lemma/105036	gryps	γρύψ					
http://lila-erc.eu/data/id/lemma/104949	gubernator	κυβερνήτης					
http://lila-erc.eu/data/id/lemma/104953	guberno	κυβερνῶ					
http://lila-erc.eu/data/id/lemma/104954	gubernum	κύβερνον	uncertain				
http://lila-erc.eu/data/id/lemma/104988	gymnas	γυμνάς					
http://lila-erc.eu/data/id/lemma/104990	gymnasiarchus	γυμνασίαρχος					
http://lila-erc.eu/data/id/lemma/104991	gymnasium	γυμνάσιον					
http://lila-erc.eu/data/id/lemma/104992	gymnasticus	γυμναστικός					
http://lila-erc.eu/data/id/lemma/104994	gymnicus	γυμνικός					
http://lila-erc.eu/data/id/lemma/104998	gynaeceum	γυναικεῖον					
http://lila-erc.eu/data/id/lemma/105000	gynaeconitis	γυναικωνῖτις					
http://lila-erc.eu/data/id/lemma/8499	gypsus	γύψος					
http://lila-erc.eu/data/id/lemma/105009	gyrus	γῦρος					
http://lila-erc.eu/data/id/lemma/105092	haeresis	αἵρεσις					
http://lila-erc.eu/data/id/lemma/105103	halagora					ἅλς ἀγορά	
http://lila-erc.eu/data/id/lemma/105116	halec	ἁλικόν		ἁλυκόν			
http://lila-erc.eu/data/id/lemma/105105	haliaeetos	ἁλιαίετος					
http://lila-erc.eu/data/id/lemma/105110	halieuticus	ἁλιευτικός					
http://lila-erc.eu/data/id/lemma/105124	halophanta	ἁλοφάντης					
http://lila-erc.eu/data/id/lemma/105127	halteres	ἁλτῆρες					
http://lila-erc.eu/data/id/lemma/105130	hama	ἄμη					
http://lila-erc.eu/data/id/lemma/135815	hamaxagoga					ἅμαξα ἄγω	
http://lila-erc.eu/data/id/lemma/135816	hamaxo	ἅμαξα					
http://lila-erc.eu/data/id/lemma/105154	hapalopsis					ἁπαλός ὄψον	
http://lila-erc.eu/data/id/lemma/105155	haphe	ἁφή					
http://lila-erc.eu/data/id/lemma/105176	harmoge	ἁρμογή					
http://lila-erc.eu/data/id/lemma/105177	harmonia	ἁρμονία					
http://lila-erc.eu/data/id/lemma/105178	harmonicus	ἀρμονικός					
