lila_id,lemma_latin,lemma_greek,certainty,written_representation,lemma_variant,compound,lsj_exactMatch,lsj_broadMatch,lsj_relatedMatch
http://lila-erc.eu/data/id/lemma/97432,cylindrus,κύλινδρος,,,,,n60699,,
http://lila-erc.eu/data/id/lemma/97437,cyma,κῦμα,,,,,n60736,,
http://lila-erc.eu/data/id/lemma/97204,cymba,κύμβη,,,,,n60770,,
http://lila-erc.eu/data/id/lemma/97443,cymbalistria,κυμβαλίστρια,,,,,n60763,,
http://lila-erc.eu/data/id/lemma/97445,cymbalum,κύμβαλον,,,,,n60766,,
http://lila-erc.eu/data/id/lemma/97446,cymbium,κυμβίον,,,,,n60773,,
http://lila-erc.eu/data/id/lemma/97458,cynicus,κυνικός,,,,,n60863,,
http://lila-erc.eu/data/id/lemma/97464,cynocephalus,κυνοκέφαλος,,,,,n60899,,
http://lila-erc.eu/data/id/lemma/97491,cyperum,κύπειρον,,,κύπειρος,,n60988,,
http://lila-erc.eu/data/id/lemma/97504,cytisus,κύτισος,,,,,n61135,,
http://lila-erc.eu/data/id/lemma/97859,dactylicus,δακτυλικός,,,,,n23312,,
http://lila-erc.eu/data/id/lemma/97860,dactyliotheca,δακτυλιοθήκη,,,,,n23315,,
http://lila-erc.eu/data/id/lemma/97864,dactylus,δάκτυλος,,,,,n23332,,
http://lila-erc.eu/data/id/lemma/97866,daedalus,δαίδαλος,,,,,n23206,,
http://lila-erc.eu/data/id/lemma/97873,damonium,δαιμόνιον,,,,,n23230,,
http://lila-erc.eu/data/id/lemma/97880,damium,δήμιον,,,,,,n24386,
http://lila-erc.eu/data/id/lemma/97900,danista,δανειστής,,,,,n23426,,
http://lila-erc.eu/data/id/lemma/97901,danisticus,δανειστικός,,,,,n23427,,
http://lila-erc.eu/data/id/lemma/97908,daphnon,δαφνῶν,,,,,n23585,,
http://lila-erc.eu/data/id/lemma/97912,dapsilis,δαψιλής,,,,,n23593,,
http://lila-erc.eu/data/id/lemma/98498,delphinus,δελφίς,,δελφίν,,,n24002,,
http://lila-erc.eu/data/id/lemma/98502,deltoton,δελτωτόν,,,,,n23982,,
http://lila-erc.eu/data/id/lemma/98525,demarchus,δήμαρχος,,,,,n24358,,
http://lila-erc.eu/data/id/lemma/97881,demiurgus,δημιουργός,,,,,n24394,,
http://lila-erc.eu/data/id/lemma/98796,depso,δέψω,,δεψέω,,,n24291,,
http://lila-erc.eu/data/id/lemma/99153,diabathrum,διάβαθρον,,,,,n24521,,
http://lila-erc.eu/data/id/lemma/99154,diabetes,διαβήτης,,,,,n24545,,
